iter	Passed	Remaining
0	75	225075
1	164	245951
2	237	237176
3	258	193911
4	330	197985
5	404	201943
6	444	190135
7	515	192945
8	583	193971
9	618	184822
10	684	185878
11	724	180476
12	795	182677
13	895	190910
14	969	192845
15	985	183789
16	1026	180148
17	1034	171424
18	1108	173973
19	1185	176684
20	1295	183778
21	1381	186983
22	1467	189942
23	1537	190668
24	1604	190886
25	1683	192600
26	1786	196708
27	1787	189729
28	1861	190686
29	1931	191206
30	1940	185831
31	1941	180035
32	1963	176562
33	2025	176677
34	2084	176548
35	2173	178971
36	2181	174715
37	2240	174610
38	2295	174306
39	2368	175283
40	2447	176653
41	2482	174871
42	2542	174835
43	2611	175443
44	2682	176137
45	2752	176742
46	2820	177204
47	2890	177745
48	2991	180171
49	3063	180739
50	3135	181307
51	3217	182422
52	3283	182584
53	3351	182832
54	3447	184574
55	3514	184766
56	3590	185404
57	3665	185945
58	3736	186261
59	3803	186379
60	3916	188688
61	3996	189389
62	4070	189766
63	4145	190158
64	4219	190523
65	4308	191512
66	4403	192756
67	4459	192272
68	4525	192216
69	4598	192469
70	4674	192824
71	4760	193584
72	4858	194798
73	4924	194705
74	4989	194596
75	5042	193989
76	5106	193845
77	5168	193618
78	5258	194444
79	5316	194041
80	5380	193889
81	5449	193920
82	5514	193808
83	5588	194000
84	5678	194734
85	5748	194783
86	5823	194986
87	5905	195404
88	5997	196159
89	6070	196265
90	6201	198242
91	6286	198717
92	6369	199091
93	6445	199262
94	6520	199392
95	6598	199602
96	6712	200883
97	6789	201052
98	6870	201324
99	6944	201400
100	7029	201763
101	7127	202492
102	7240	203636
103	7319	203828
104	7387	203686
105	7452	203464
106	7520	203324
107	7583	203080
108	7676	203606
109	7751	203658
110	7832	203851
111	7917	204168
112	8000	204399
113	8074	204415
114	8179	205210
115	8253	205208
116	8327	205193
117	8392	204976
118	8462	204870
119	8544	205064
120	8639	205552
121	8712	205535
122	8783	205437
123	8856	205404
124	8922	205228
125	8991	205088
126	9079	205391
127	9146	205217
128	9211	205011
129	9265	204553
130	9339	204536
131	9401	204268
132	9494	204658
133	9564	204558
134	9637	204521
135	9703	204349
136	9772	204220
137	9837	204026
138	9938	204561
139	10006	204419
140	10072	204232
141	10125	203787
142	10197	203742
143	10263	203568
144	10356	203925
145	10424	203767
146	10517	204132
147	10605	204378
148	10676	204287
149	10746	204187
150	10848	204682
151	10906	204360
152	10964	204025
153	11030	203857
154	11107	203881
155	11184	203898
156	11282	204315
157	11353	204219
158	11416	203984
159	11488	203927
160	11595	204472
161	11724	205395
162	11834	205978
163	11927	206254
164	12001	206208
165	12081	206250
166	12155	206213
167	12235	206250
168	12331	206565
169	12406	206524
170	12465	206233
171	12536	206128
172	12585	205660
173	12662	205656
174	12774	206219
175	12873	206568
176	12969	206853
177	13054	206960
178	13139	207081
179	13226	207208
180	13347	207876
181	13447	208217
182	13528	208242
183	13594	208049
184	13659	207849
185	13733	207772
186	13826	207991
187	13889	207754
188	13959	207613
189	14021	207367
190	14102	207402
191	14157	207048
192	14253	207296
193	14323	207173
194	14382	206891
195	14456	206819
196	14531	206753
197	14610	206755
198	14711	207076
199	14809	207338
200	14940	208058
201	15035	208262
202	15110	208194
203	15240	208880
204	15349	209281
205	15416	209097
206	15482	208901
207	15539	208582
208	15608	208439
209	15673	208235
210	15767	208411
211	15823	208098
212	15888	207888
213	15953	207691
214	16007	207351
215	16069	207119
216	16161	207275
217	16233	207165
218	16297	206954
219	16364	206793
220	16428	206585
221	16540	206976
222	16673	207632
223	16778	207935
224	16849	207806
225	16904	207489
226	16982	207452
227	17052	207316
228	17198	208108
229	17311	208493
230	17388	208439
231	17456	208270
232	17553	208455
233	17634	208443
234	17717	208468
235	17776	208198
236	17838	207969
237	17914	207904
238	17992	207856
239	18054	207631
240	18176	208090
241	18266	208183
242	18346	208149
243	18407	207912
244	18479	207797
245	18554	207722
246	18647	207843
247	18723	207768
248	18807	207786
249	18912	208041
250	18974	207814
251	19061	207858
252	19150	207932
253	19209	207679
254	19274	207483
255	19348	207395
256	19434	207425
257	19518	207440
258	19614	207585
259	19690	207509
260	19830	208109
261	19935	208328
262	20021	208355
263	20093	208246
264	20194	208424
265	20270	208345
266	20335	208156
267	20422	208187
268	20498	208111
269	20580	208086
270	20679	208240
271	20755	208165
272	20819	207965
273	20893	207864
274	20963	207734
275	21047	207730
276	21153	207945
277	21231	207881
278	21319	207925
279	21405	207939
280	21494	207982
281	21575	207952
282	21669	208045
283	21739	207901
284	21807	207742
285	21872	207559
286	21947	207472
287	22038	207531
288	22152	207803
289	22238	207818
290	22304	207642
291	22368	207446
292	22433	207260
293	22504	207136
294	22595	207191
295	22656	206973
296	22729	206860
297	22795	206685
298	22864	206543
299	22935	206421
300	23035	206557
301	23108	206447
302	23182	206348
303	23265	206330
304	23355	206366
305	23439	206358
306	23538	206478
307	23605	206320
308	23670	206142
309	23746	206062
310	23813	205894
311	23883	205764
312	23978	205850
313	24030	205556
314	24104	205462
315	24170	205292
316	24237	205143
317	24302	204969
318	24410	205158
319	24494	205144
320	24571	205065
321	24643	204950
322	24710	204800
323	24777	204642
324	24877	204758
325	24946	204624
326	25019	204515
327	25085	204357
328	25160	204264
329	25228	204120
330	25317	204145
331	25381	203971
332	25443	203778
333	25513	203651
334	25585	203535
335	25664	203483
336	25770	203639
337	25829	203429
338	25896	203278
339	25959	203094
340	26030	202975
341	26099	202847
342	26202	202973
343	26267	202806
344	26342	202723
345	26414	202611
346	26481	202466
347	26565	202445
348	26658	202494
349	26733	202412
350	26810	202338
351	26874	202172
352	26953	202116
353	27025	202005
354	27117	202044
355	27182	201885
356	27236	201638
357	27284	201353
358	27343	201155
359	27413	201034
360	27511	201115
361	27575	200953
362	27642	200805
363	27707	200648
364	27775	200514
365	27847	200407
366	27956	200568
367	28033	200502
368	28113	200451
369	28187	200361
370	28261	200264
371	28340	200211
372	28454	200398
373	28538	200383
374	28609	200266
375	28681	200159
376	28756	200077
377	28839	200046
378	28941	200150
379	29022	200100
380	29127	200219
381	29225	200295
382	29303	200229
383	29373	200107
384	29454	200062
385	29530	199980
386	29589	199783
387	29653	199628
388	29717	199465
389	29786	199342
390	29884	199409
391	29960	199327
392	30043	199295
393	30116	199196
394	30185	199074
395	30270	199054
396	30375	199162
397	30432	198958
398	30496	198800
399	30566	198682
400	30631	198532
401	30696	198382
402	30787	198402
403	30858	198290
404	30917	198102
405	30983	197959
406	31039	197754
407	31120	197707
408	31225	197815
409	31262	197489
410	31338	197407
411	31416	197345
412	31542	197578
413	31619	197505
414	31732	197657
415	31814	197616
416	31893	197558
417	32039	197906
418	32140	197980
419	32237	198028
420	32335	198082
421	32404	197956
422	32466	197793
423	32539	197695
424	32610	197580
425	32690	197525
426	32788	197572
427	32858	197457
428	32925	197322
429	32994	197197
430	33088	197223
431	33169	197174
432	33282	197311
433	33382	197369
434	33487	197458
435	33579	197474
436	33655	197388
437	33756	197451
438	33888	197698
439	33962	197598
440	34028	197456
441	34088	197283
442	34153	197132
443	34225	197029
444	34333	197127
445	34418	197094
446	34505	197076
447	34588	197029
448	34678	197028
449	34756	196954
450	34856	197003
451	34927	196891
452	34957	196550
453	35039	196500
454	35096	196309
455	35175	196241
456	35287	196361
457	35386	196403
458	35442	196210
459	35521	196140
460	35597	196055
461	35663	195918
462	35752	195906
463	35805	195695
464	35860	195499
465	35926	195360
466	35977	195141
467	36040	194985
468	36133	194997
469	36201	194872
470	36266	194727
471	36327	194569
472	36382	194375
473	36443	194213
474	36522	194147
475	36586	193999
476	36646	193834
477	36708	193679
478	36771	193529
479	36830	193360
480	36912	193309
481	36973	193151
482	37033	192990
483	37102	192872
484	37173	192764
485	37233	192600
486	37331	192638
487	37403	192534
488	37473	192424
489	37534	192270
490	37600	192135
491	37681	192081
492	37771	192073
493	37825	191884
494	37890	191748
495	37963	191656
496	38041	191585
497	38099	191417
498	38189	191404
499	38275	191378
500	38350	191293
501	38430	191235
502	38479	191019
503	38544	190888
504	38642	190916
505	38705	190771
506	38766	190622
507	38823	190450
508	38885	190303
509	38949	190163
510	39021	190069
511	39086	189936
512	39145	189773
513	39208	189635
514	39270	189488
515	39328	189323
516	39412	189284
517	39470	189122
518	39526	188951
519	39593	188830
520	39649	188659
521	39714	188530
522	39785	188429
523	39845	188278
524	39905	188125
525	39961	187955
526	40021	187805
527	40085	187674
528	40173	187651
529	40234	187506
530	40318	187468
531	40420	187516
532	40496	187436
533	40567	187337
534	40657	187329
535	40724	187212
536	40787	187077
537	40840	186896
538	40891	186705
539	40972	186652
540	41074	186696
541	41153	186631
542	41210	186471
543	41267	186309
544	41329	186171
545	41406	186103
546	41502	186115
547	41558	185952
548	41652	185956
549	41747	185968
550	41854	186028
551	41947	186027
552	42040	186028
553	42090	185837
554	42165	185757
555	42241	185678
556	42312	185582
557	42383	185485
558	42479	185494
559	42549	185395
560	42624	185315
561	42690	185193
562	42765	185112
563	42835	185011
564	42924	184991
565	42993	184886
566	43070	184814
567	43168	184834
568	43256	184810
569	43336	184749
570	43434	184768
571	43507	184678
572	43568	184538
573	43641	184452
574	43722	184396
575	43795	184308
576	43887	184298
577	43959	184204
578	44028	184097
579	44111	184053
580	44244	184213
581	44353	184271
582	44492	184457
583	44601	184515
584	44706	184558
585	44819	184633
586	44908	184608
587	44994	184569
588	45124	184712
589	45205	184651
590	45277	184557
591	45347	184453
592	45430	184403
593	45495	184281
594	45604	184335
595	45672	184224
596	45767	184220
597	45880	184289
598	45976	184290
599	46049	184196
600	46144	184193
601	46215	184096
602	46330	184171
603	46508	184495
604	46623	184565
605	46775	184787
606	46936	185040
607	47028	185019
608	47132	185047
609	47254	185143
610	47353	185152
611	47409	184991
612	47506	184988
613	47555	184800
614	47624	184690
615	47690	184569
616	47782	184548
617	47936	184766
618	48075	184922
619	48167	184901
620	48307	185061
621	48414	185097
622	48498	185041
623	48626	185155
624	48765	185309
625	48837	185208
626	48909	185106
627	48982	185010
628	49054	184911
629	49146	184886
630	49249	184900
631	49311	184763
632	49383	184660
633	49475	184637
634	49577	184647
635	49649	184545
636	49758	184582
637	49834	184496
638	49910	184411
639	49969	184264
640	50077	184295
641	50160	184235
642	50305	184402
643	50386	184334
644	50458	184231
645	50521	184097
646	50583	183960
647	50653	183851
648	50761	183883
649	50857	183868
650	50945	183827
651	51007	183690
652	51077	183580
653	51152	183491
654	51242	183454
655	51302	183313
656	51371	183202
657	51444	183104
658	51509	182981
659	51579	182872
660	51673	182849
661	51756	182790
662	51830	182698
663	51905	182606
664	51967	182471
665	52033	182351
666	52126	182326
667	52182	182170
668	52256	182076
669	52313	181926
670	52370	181773
671	52445	181687
672	52537	181658
673	52594	181504
674	52666	181407
675	52734	181292
676	52794	181152
677	52857	181025
678	52945	180980
679	53004	180839
680	53067	180710
681	53128	180575
682	53185	180425
683	53250	180304
684	53336	180255
685	53398	180123
686	53456	179976
687	53517	179842
688	53581	179718
689	53644	179591
690	53742	179583
691	53811	179474
692	53871	179339
693	53903	179109
694	53958	178956
695	54006	178781
696	54084	178702
697	54147	178578
698	54198	178412
