,date_beach_address,height_low_tide_max,height_low_tide_min,height_low_tide_mean,date,beach_address,beach_name,country_state,country,latitude,longitude
0,2020-04-27|1 km off Blacks Beach Queensland AUSTRALIA,-1.2863811577732718,-1.3360446277054874,-1.3112128927393796,2020-04-27,1 km off Blacks Beach Queensland AUSTRALIA,1 km off Black's Beach,Queensland,AUSTRALIA,-21.062778,149.1875
1,2020-04-27|10 miles off Nambucca Heads onboard trawler New South Wales AUSTRALIA,-0.46582764454171693,-0.5064858808523705,-0.48615676269704367,2020-04-27,10 miles off Nambucca Heads onboard trawler New South Wales AUSTRALIA,10 miles off Nambucca Heads onboard trawler,New South Wales,AUSTRALIA,-30.6419702,152.9978834
2,2020-04-27|15 km north of Lancelin north of Perth Western Australia AUSTRALIA,-0.21000979813102122,-0.21000979813102122,-0.21000979813102122,2020-04-27,15 km north of Lancelin north of Perth Western Australia AUSTRALIA,15 km north of Lancelin,Western Australia,AUSTRALIA,-31.045409799999998,115.35327749999999
3,2020-04-27|15 miles off shore New South Wales AUSTRALIA,-0.37775956393728005,-0.5311679566788544,-0.45446376030806723,2020-04-27,15 miles off shore New South Wales AUSTRALIA,1.5 miles off shore,New South Wales,AUSTRALIA,-31.2532183,146.921099
4,2020-04-27|15 miles up the Cataract River New South Wales AUSTRALIA,-0.36161958215172624,-0.5276915951725227,-0.4446555886621245,2020-04-27,15 miles up the Cataract River New South Wales AUSTRALIA,15 miles up the Cataract River,New South Wales,AUSTRALIA,-34.229766399999995,150.7616844
5,2020-04-27|150 yards from the pier at Lorne Victoria AUSTRALIA,-0.5411967047043647,-0.9916940495027609,-0.7664453771035628,2020-04-27,150 yards from the pier at Lorne Victoria AUSTRALIA,150 yards from the pier at Lorne,Victoria,AUSTRALIA,-38.5366556,143.97154840000002
6,2020-04-27|18 km west of Bunbury Western Australia AUSTRALIA,-0.1305664232737852,-0.2304169746413153,-0.18049169895755024,2020-04-27,18 km west of Bunbury Western Australia AUSTRALIA,18 km west of Bunbury,Western Australia,AUSTRALIA,-33.3209971,115.63834820000001
7,2020-04-27|18 miles south of Port Augusta South Australia AUSTRALIA,-0.7322238098996007,-1.4245764133694783,-1.0784001116345394,2020-04-27,18 miles south of Port Augusta South Australia AUSTRALIA,18 miles south of Port Augusta,South Australia,AUSTRALIA,-32.495233899999995,137.78943940000002
8,2020-04-27|20 k off The Spit off the Gold Coast Queensland AUSTRALIA,-0.46065853688769565,-0.5155718127154074,-0.48811517480155153,2020-04-27,20 k off The Spit off the Gold Coast Queensland AUSTRALIA,20 k off The Spit,Queensland,AUSTRALIA,-27.9352516,153.43347680000002
9,2020-04-27|20 miles off Sydney New South Wales AUSTRALIA,-0.3729549192866717,-0.5287400255451896,-0.45084747241593065,2020-04-27,20 miles off Sydney New South Wales AUSTRALIA,20 miles off Sydney,New South Wales,AUSTRALIA,-33.8688197,151.2092955
