state,Date_Location,height_low_tide_max,height_low_tide_min,height_low_tide_mean
LOW TIDE,1939.11.11_-33.95_151.244,-0.6222863280984601,-0.7239864670308926,-0.6731363975646764
LOW TIDE,1939.12.28_-33.922_150.901,-0.564311405765077,-0.7838017664868795,-0.6740565861259782
LOW TIDE,1940.01.01_-19.359_146.885,-0.4982563685371424,-0.8092147973876631,-0.6537355829624028
LOW TIDE,1940.01.23_-33.959_151.152,-0.5709199073341977,-0.6578020033266607,-0.6143609553304292
LOW TIDE,1940.02.04_-33.959_151.152,-0.4113552314113564,-0.473882591587304,-0.4426189114993302
LOW TIDE,1940.02.20_-33.846_151.249,-0.5049147309477109,-0.5049147309477109,-0.5049147309477109
LOW TIDE,1941.08.05_-33.834_151.092,-0.5415642780149339,-0.6943118332495472,-0.6179380556322405
LOW TIDE,1942.01.04_-33.786_151.226,-0.6304154345974876,-0.6304154345974876,-0.6304154345974876
LOW TIDE,1942.01.18_-33.801_151.294,-0.579992103843212,-0.7889984359096899,-0.6844952698764509
LOW TIDE,1942.03.04_-34.049_150.895,-0.6249561958050572,-0.7183699590829797,-0.6716630774440184
LOW TIDE,1942.05.09_-16.919_145.778,-0.6306294818648568,-0.8171973247869544,-0.7239134033259056
LOW TIDE,1942.09.12_-16.783_145.7,-0.7578116965715141,-0.7729035627084289,-0.7653576296399716
LOW TIDE,1942.12.26_-33.781_151.215,-0.35592722347001504,-0.5681798454406366,-0.4620535344553258
LOW TIDE,1944.01.16_-31.99_115.763,-0.17201004375660098,-0.17201004375660098,-0.17201004375660098
LOW TIDE,1945.06.15_-16.783_145.7,-0.336152312159156,-0.4271945507074894,-0.38167343143332266
LOW TIDE,1946.01.05_-33.99_151.084,-0.6427363734763144,-0.6427363734763144,-0.6427363734763144
LOW TIDE,1946.01.17_-19.259_146.817,-0.8874300325736652,-0.8874300325736652,-0.8874300325736652
LOW TIDE,1946.02.10_-31.934_115.764,-0.2066181873534297,-0.2066181873534297,-0.2066181873534297
LOW TIDE,1946.03.20_-34.9_138.489,-1.0851593119405207,-1.1243841065998053,-1.104771709270163
LOW TIDE,1946.04.19_-16.783_145.7,-0.22717589562889762,-0.6236093959991781,-0.42539264581403785
LOW TIDE,1946.08.18_-16.723_145.676,-0.1842724053321746,-0.5097690960443131,-0.34702075068824384
LOW TIDE,1946.10.14_-33.059_151.644,-0.629363150098043,-0.6706150885926342,-0.6499891193453387
LOW TIDE,1946.12.28_-34.982_138.516,-0.5950021284889773,-0.8943182702965837,-0.7446601993927805
LOW TIDE,1947.01.14_-33.846_151.249,-0.2480477048190109,-0.460262681421235,-0.35415519312012295
LOW TIDE,1947.04.06_-33.601_151.322,-0.6531649115740512,-0.6531649115740512,-0.6531649115740512
LOW TIDE,1947.06.16_-33.919_151.256,-0.5730528551088293,-0.6031660903930118,-0.5881094727509206
LOW TIDE,1947.07.24_-12.508_130.859,-2.1996059904078624,-2.2653566899242374,-2.23248134016605
LOW TIDE,1947.11.14_-32.924_151.793,-0.606793493927294,-0.606793493927294,-0.606793493927294
LOW TIDE,1947.11.23_-34.982_138.516,-0.0030278697260508955,-0.35059088954673967,-0.1768093796363953
LOW TIDE,1948.01.25_-33.676_151.307,-0.5917981282605951,-0.7645138875011984,-0.6781560078808968
LOW TIDE,1948.02.12_-32.805_151.961,-0.4906861130130461,-0.6175850961779338,-0.5541356045954899
LOW TIDE,1949.01.05_-32.028_115.75,-0.1792202837837771,-0.1792202837837771,-0.1792202837837771
LOW TIDE,1949.01.13_-33.676_151.307,-0.48312879236484896,-0.6116521994017274,-0.5473904958832883
LOW TIDE,1949.01.14_-33.888_151.281,-0.5244489077442305,-0.6978419099306342,-0.6111454088374324
LOW TIDE,1949.01.23_-32.94_151.768,-0.35473505074949924,-0.43223968445913297,-0.39348736760431613
LOW TIDE,1949.04.17_-16.723_145.676,-0.149666104759318,-0.5812029925187694,-0.3654345486390437
LOW TIDE,1949.05.16_-17.964_122.23,-3.1653627542496596,-3.591991467540651,-3.378677110895155
LOW TIDE,1949.08.28_-16.818_145.733,-0.33507962550068515,-0.7245262210695559,-0.5298029232851205
LOW TIDE,1949.11.12_-38.173_144.873,-0.12006574344932278,-0.5509424275886391,-0.3355040855189809
LOW TIDE,1949.11.20_-34.012_151.207,-0.609764817772193,-0.7734332853316623,-0.6915990515519277
LOW TIDE,1950.01.12_-37.974_144.696,-0.29411322576956644,-0.4914867564561171,-0.3927999911128418
LOW TIDE,1950.02.18_-31.99_115.763,-0.05553694566654181,-0.19595206291577458,-0.1257445042911582
LOW TIDE,1950.03.01_-31.934_115.764,-0.32283936423757675,-0.32283936423757675,-0.32283936423757675
LOW TIDE,1950.11.12_-23.133_150.733,-1.9096760858940318,-2.0776664311187436,-1.9936712585063878
LOW TIDE,1950.12.16_26.706_-80.036,-0.32414915977808056,-0.3810115125871372,-0.35258033618260887
LOW TIDE,1951.02.01_-33.891_151.277,-0.3988397543180202,-0.4020664858452118,-0.40045312008161604
LOW TIDE,1951.03.24_-33.869_151.209,-0.7038435225124559,-0.7038435225124559,-0.7038435225124559
LOW TIDE,1951.03.26_-33.63_151.33,-0.6042985318121651,-0.6699657654911586,-0.6371321486516619
LOW TIDE,1951.09.02_-23.266_150.359,-1.89152761917499,-2.042066742432756,-1.966797180803873
LOW TIDE,1951.12.06_-32.947_151.76,-0.3059997940982231,-0.5774934463766214,-0.4417466202374222
LOW TIDE,1951.12.16_-33.888_151.281,-0.3793552077306698,-0.5548538924376758,-0.4671045500841728
LOW TIDE,1952.12.21_-38.015_140.582,-0.05856687678010132,-0.3855290233990814,-0.22204795008959136
LOW TIDE,1953.01.20_-34.821_138.494,-0.8867986307939203,-0.8867986307939203,-0.8867986307939203
LOW TIDE,1953.03.19_-34.721_135.879,-0.3184624051251972,-0.5776116772121076,-0.4480370411686524
LOW TIDE,1953.03.22_-33.742_151.317,-0.23607813354904866,-0.3898599525998725,-0.3129690430744606
LOW TIDE,1954.01.22_-10.254_142.481,-1.0235318664874837,-1.098637431183147,-1.0610846488353154
LOW TIDE,1954.06.27_-16.934_145.994,-0.5208182335323265,-1.138683675415907,-0.8297509544741168
LOW TIDE,1954.12.11_-38.283_144.6,-1.2903681032714267,-1.2903681032714267,-1.2903681032714267
LOW TIDE,1955.01.17_-33.82_151.251,-0.22711730693808177,-0.33594512854604436,-0.2815312177420631
LOW TIDE,1955.02.01._-33.834_151.092,-0.395412102833375,-0.4304426395603312,-0.4129273711968531
LOW TIDE,1955.02.05_-33.786_151.226,-0.5064616450062295,-0.7014023006446342,-0.6039319728254318
LOW TIDE,1956.01.05_-33.888_151.281,-0.2889374093677615,-0.46105608979335,-0.37499674958055573
LOW TIDE,1956.03.11_-34.057_151.152,-0.4679025401588532,-0.6089293120562683,-0.5384159261075607
LOW TIDE,1956.06.28_-9.444_147.18,-0.19978842549855919,-0.3598803412604478,-0.2798343833795035
LOW TIDE,1957.04.13_-10.591_142.221,-0.5137535498333278,-0.8496001263589591,-0.6816768380961434
LOW TIDE,1957.04.23_-32.947_151.76,-0.22057829809653343,-0.41627423944346414,-0.3184262687699988
LOW TIDE,1957.05.11_-32.66_152.152,-0.6228817430062041,-0.6710267311858384,-0.6469542370960213
LOW TIDE,1957.07.09_-10.58_142.219,-0.3551541842870079,-1.0833967681766663,-0.7192754762318371
LOW TIDE,1957.11.04_-30.749_152.994,-0.432080412253117,-0.5833116966626373,-0.5076960544578771
LOW TIDE,1958.01.19_-28.556_153.544,-0.6115109146946108,-0.684746493804051,-0.6481287042493309
LOW TIDE,1958.01.27_-35.207_150.552,-0.26112932441726255,-0.39685685720988756,-0.3289930908135751
LOW TIDE,1958.06.15_-16.76_145.974,-0.94840251597727,-0.94840251597727,-0.94840251597727
LOW TIDE,1958.11.23_-28.0_153.417,-0.44047828526860133,-0.6366009953105347,-0.538539640289568
LOW TIDE,1959.01.17_-43.163_147.855,-0.15147569421735285,-0.19492312763742697,-0.1731994109273899
LOW TIDE,1959.01.25_-39.875_143.937,-0.19927000626689342,-0.395889541701356,-0.2975797739841247
LOW TIDE,1959.01.31_-31.981_115.864,-0.12114642269896383,-0.12114642269896383,-0.12114642269896383
LOW TIDE,1959.02.28_-38.173_144.873,-0.18182920341700884,-0.40841146629048225,-0.29512033485374556
LOW TIDE,1959.04.05_-34.315_150.91,-0.42829788735403246,-0.5775408702990471,-0.5029193788265398
LOW TIDE,1959.11.09_-31.951_115.86,0.04208936051548375,-0.1083543888131608,-0.03313251414883853
LOW TIDE,1959.11.22_-28.006_153.431,-0.2922652006950288,-0.4310526819166908,-0.36165894130585985
LOW TIDE,1959.11.28_-28.077_153.447,-0.6174915467891958,-0.83651764088196,-0.7270045938355779
LOW TIDE,1959.12.11_-37.863_144.812,-0.3528214870706247,-0.3528214870706247,-0.3528214870706247
LOW TIDE,1959.12.19_-27.444_153.174,-0.7875310383642091,-0.8389778649668946,-0.8132544516655519
LOW TIDE,1959.12.28_-33.884_151.157,-0.7270762990275317,-0.7270762990275317,-0.7270762990275317
LOW TIDE,1959.12.29_-27.252_153.11,-1.015022190274547,-1.1756680176827308,-1.095345103978639
LOW TIDE,1960.01.07_-43.02_147.925,-0.20741349033758377,-0.21972874952663027,-0.21357111993210703
LOW TIDE,1960.01.13_-28.78_114.614,-0.07417428153904115,-0.31430713853621595,-0.19424071003762855
LOW TIDE,1960.01.16_-33.773_151.204,-0.47826185078959016,-0.6382837535996945,-0.5582728021946424
LOW TIDE,1960.02.07_-34.075_151.057,-0.3198966004253783,-0.32581916259558225,-0.3228578815104803
LOW TIDE,1960.02.10._-33.891_151.277,-0.4019606776188029,-0.5301411130539557,-0.46605089533637933
LOW TIDE,1960.02.29_-42.97_147.43,-0.1926875822399025,-0.3169001874764111,-0.2547938848581568
LOW TIDE,1960.04.03_-32.616_152.314,-0.2742300629007719,-0.3686722079944854,-0.32145113544762866
LOW TIDE,1960.04.03_-38.192_145.095,-0.21475456280805413,-0.48692865357972864,-0.3508416081938914
LOW TIDE,1960.04.10_-32.006_115.507,-0.11577566472549,-0.14011125950567407,-0.12794346211558205
LOW TIDE,1960.04.12_-30.884_153.039,-0.7469362254889721,-0.7750517040826643,-0.7609939647858182
LOW TIDE,1960.04.22_-32.006_115.507,-0.02830543869005856,-0.1311573534913572,-0.07973139609070788
LOW TIDE,1960.09.18_-35.094_117.95,-0.13625599758771983,-0.2485016161029799,-0.19237880684534986
LOW TIDE,1960.11.11_-27.252_153.11,-0.419390552421012,-0.5080570233329944,-0.4637237878770032
LOW TIDE,1960.11.27_-21.063_149.188,-1.5076905642234275,-2.092357512941245,-1.800024038582336
LOW TIDE,1960.12.01_-27.557_152.803,-0.8354928665480101,-1.0478279946443163,-0.9416604305961632
LOW TIDE,1960.12.20_-26.895_152.319,-0.7543485717796613,-0.8475814715566897,-0.8009650216681755
LOW TIDE,1960.12.27._-33.891_151.277,-0.33150154814608224,-0.48771198766405777,-0.40960676790507
LOW TIDE,1961.01.06_-12.467_130.85,-1.8131018771679321,-2.7269266590481362,-2.270014268108034
LOW TIDE,1961.01.15_-28.196_153.578,-0.6623179289113341,-0.8225642339105127,-0.7424410814109235
LOW TIDE,1961.02.01_-32.121_115.662,-0.05265204533801573,-0.22723674988049675,-0.13994439760925623
LOW TIDE,1961.02.17_-38.264_145.016,-0.11770138059493368,-0.2781807500152763,-0.197941065305105
LOW TIDE,1961.03.18_-38.397_142.473,-0.27642675215083157,-0.332863385743252,-0.3046450689470418
