Reporting unit,Reporting unit type,State,Peer group,Interval,Time period,Patient cohort,Number of patients,,Percentage of patients seen on time,,Peer group average
National,National,,Unpeered,FY,2011–12,Triage 1. Resuscitation,"42,371",,100%,,Not peered
National,National,,Unpeered,FY,2012–13,Triage 1. Resuscitation,"45,124",,100%,,Not peered
National,National,,Unpeered,FY,2013–14,Triage 1. Resuscitation,"46,446",,100%,,Not peered
National,National,,Unpeered,FY,2014–15,Triage 1. Resuscitation,"48,791",,100%,,Not peered
National,National,,Unpeered,FY,2015–16,Triage 1. Resuscitation,"52,478",,100%,,Not peered
National,National,,Unpeered,FY,2016–17,Triage 1. Resuscitation,"56,284",,100%,,Not peered
National,National,,Unpeered,FY,2017–18,Triage 1. Resuscitation,"60,267",,100%,,Not peered
National,National,,Unpeered,FY,2018–19,Triage 1. Resuscitation,"64,077",,100%,,Not peered
National,National,,Unpeered,FY,2011–12,Triage 2. Emergency,"644,112",,80%,,Not peered
National,National,,Unpeered,FY,2012–13,Triage 2. Emergency,"710,966",,82%,,Not peered
National,National,,Unpeered,FY,2013–14,Triage 2. Emergency,"781,363",,82%,,Not peered
National,National,,Unpeered,FY,2014–15,Triage 2. Emergency,"839,117",,79%,,Not peered
National,National,,Unpeered,FY,2015–16,Triage 2. Emergency,"895,191",,77%,,Not peered
National,National,,Unpeered,FY,2016–17,Triage 2. Emergency,"963,042",,77%,,Not peered
National,National,,Unpeered,FY,2017–18,Triage 2. Emergency,"1,035,004",,76%,,Not peered
National,National,,Unpeered,FY,2018–19,Triage 2. Emergency,"1,126,609",,75%,,Not peered
National,National,,Unpeered,FY,2011–12,Triage 3. Urgent,"2,135,937",,66%,,Not peered
National,National,,Unpeered,FY,2012–13,Triage 3. Urgent,"2,250,212",,68%,,Not peered
National,National,,Unpeered,FY,2013–14,Triage 3. Urgent,"2,403,918",,70%,,Not peered
National,National,,Unpeered,FY,2014–15,Triage 3. Urgent,"2,516,811",,68%,,Not peered
National,National,,Unpeered,FY,2015–16,Triage 3. Urgent,"2,621,809",,67%,,Not peered
National,National,,Unpeered,FY,2016–17,Triage 3. Urgent,"2,771,035",,66%,,Not peered
National,National,,Unpeered,FY,2017–18,Triage 3. Urgent,"2,911,234",,64%,,Not peered
National,National,,Unpeered,FY,2018–19,Triage 3. Urgent,"3,073,793",,63%,,Not peered
National,National,,Unpeered,FY,2011–12,Triage 4. Semi-Urgent,"2,683,679",,70%,,Not peered
National,National,,Unpeered,FY,2012–13,Triage 4. Semi-Urgent,"2,747,466",,72%,,Not peered
National,National,,Unpeered,FY,2013–14,Triage 4. Semi-Urgent,"2,886,480",,75%,,Not peered
National,National,,Unpeered,FY,2014–15,Triage 4. Semi-Urgent,"2,924,280",,74%,,Not peered
National,National,,Unpeered,FY,2015–16,Triage 4. Semi-Urgent,"2,905,764",,74%,,Not peered
National,National,,Unpeered,FY,2016–17,Triage 4. Semi-Urgent,"2,926,274",,74%,,Not peered
National,National,,Unpeered,FY,2017–18,Triage 4. Semi-Urgent,"2,963,696",,73%,,Not peered
