hospital_name,hospital_address,state,peer_group,hospital_type,interval,time_period,resuscitation_cohort_percent_patient_seen_on_time,emergency_cohort_percent_patient_seen_on_time,urgent_cohort_percent_patient_seen_on_time,semi_urgent_cohort_percent_patient_seen_on_time,non_urgent_cohort_percent_patient_seen_on_time,hospital_latitude,hospital_longitude,hospital_location_type,hospital_postal_code,hospital_formatted_address,hospital_place_id
"Albury Wodonga Health [Albury Campus] Hospital,","Albury Wodonga Health [Albury Campus] Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,80,58,68,93,-36.0785951,146.9377197,ROOFTOP,New South Wales,"201 Borella Rd, Albury NSW 2640, Australia",ChIJL6QGAMzhI2sRENL9c7UJBg8
"Armidale Hospital Hospital,","Armidale Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,56,62,70,90,-30.5120389,151.6548607,ROOFTOP,New South Wales,"226 Rusden St, Armidale NSW 2350, Australia",ChIJs3jsoNKfn2sRLPJY8Tu0HeQ
"Auburn Hospital Hospital,","Auburn Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,74,63,63,87,-33.8605222,151.0325624,GEOMETRIC_CENTER,Australia,"Hargrave Rd, Auburn NSW 2144, Australia",ChIJu27KfLu8EmsR8CSVN3mcs_4
"Ballina Hospital Hospital,","Ballina Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,84,83,83,95,-28.863182,153.564435,ROOFTOP,Ballina Shire Council,"78/92 Cherry St, Ballina NSW 2478, Australia",ChIJKer4rfl1mmsRqDjb8JrCojw
"Balranald Multi Purpose Service Hospital,","Balranald Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,91,99,99,100,-34.6444943,143.5684133,ROOFTOP,New South Wales,"41-43 Court St, Balranald NSW 2715, Australia",ChIJVwcz0WZN3GoRk4cXC7ZxE2o
"Bankstown Lidcombe Hospital Hospital,","Bankstown Lidcombe Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,70,69,78,92,-33.9333044,151.0210329,GEOMETRIC_CENTER,Australia,"Eldridge Rd, Bankstown NSW 2200, Australia",ChIJH2uSKZi-EmsRgbMqC2EjFp8
"Baradine Multi Purpose Service Hospital,","Baradine Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,100,95,100,100,-30.9452699,149.0662664,ROOFTOP,New South Wales,"37 Macquarie St, Baradine NSW 2396, Australia",ChIJN4cN_YJMCGsRKIIVbBGTwrw
"Barham Hospital Hospital,","Barham Hospital Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,27,78,95,100,-35.6248751,144.134131,GEOMETRIC_CENTER,Australia,"Punt Rd, Barham NSW 2732, Australia",ChIJU6vlJQFZ2WoR2b8a-wUkMmE
"Barraba Multi Purpose Service Hospital,","Barraba Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,72,73,84,99,-30.382269,150.6056662,ROOFTOP,New South Wales,"24 Edward St, Barraba NSW 2347, Australia",ChIJRdMHGbZXoGsRoVKoBL6B640
"Batemans Bay Hospital Hospital,","Batemans Bay Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,82,77,82,94,-35.7137371,150.1822526,ROOFTOP,New South Wales,"7 Pacific St, Batemans Bay NSW 2536, Australia",ChIJJ_N-TSHAFWsRzvyooeiraNc
