,beach_address,beach_name,country_state,country,latitude,longitude,postal_code,formatted_address,location_type,Img url
0,Windang Beach New South Wales AUSTRALIA,Windang Beach,New South Wales,AUSTRALIA,-34.5343248,150.8745658,,,APPROXIMATE,
1,North West Island Queensland AUSTRALIA,North West Island,Queensland,AUSTRALIA,-23.2950882,151.7078724,4805,"North West Island, Queensland 4805, Australia",APPROXIMATE,
2,Cull Island  Esperance Western Australia AUSTRALIA,Cull Island / Esperance,Western Australia,AUSTRALIA,-33.9221794,121.9032181,,,APPROXIMATE,
3,Esperance Western Australia AUSTRALIA,Esperance,Western Australia,AUSTRALIA,-33.8613103,121.8914238,6450,"Esperance WA 6450, Australia",APPROXIMATE,
5,Shellharbour New South Wales AUSTRALIA,Shellharbour,New South Wales,AUSTRALIA,-34.583333,150.866667,2529,"Shellharbour NSW 2529, Australia",APPROXIMATE,
6,Exmouth Western Australia AUSTRALIA,Exmouth,Western Australia,AUSTRALIA,-21.9313388,114.1236812,6707,"Exmouth WA 6707, Australia",APPROXIMATE,
7,Bargara Queensland AUSTRALIA,Bargara,Queensland,AUSTRALIA,-24.8312314,152.4592208,4670,"Bargara QLD 4670, Australia",APPROXIMATE,
8,Elliot Head near Bundaberg Queensland AUSTRALIA,Elliot Head,Queensland,AUSTRALIA,-24.916667,152.483333,4670,"Elliott Heads QLD 4670, Australia",APPROXIMATE,
9,Off Airlie Beach Whitsundays Queensland AUSTRALIA,Off Airlie Beach,Queensland,AUSTRALIA,-20.2675,148.716944,4802,"Airlie Beach QLD 4802, Australia",APPROXIMATE,
10,Woorim Beach Bribie Island Queensland AUSTRALIA,Woorim Beach,Queensland,AUSTRALIA,-27.0609079,153.2006374,Australia,"Woorim Beach, Woorim QLD 4507, Australia",GEOMETRIC_CENTER,
11,Lighthouse Beach New South Wales AUSTRALIA,Lighthouse Beach,New South Wales,AUSTRALIA,-31.4789172,152.9298045,Australia,"Lighthouse Beach, Port Macquarie NSW 2444, Australia",APPROXIMATE,
12,Burns Beach Perth Western Australia AUSTRALIA,Burns Beach,Western Australia,AUSTRALIA,-31.7246872,115.7248959,6028,"Burns Beach WA 6028, Australia",APPROXIMATE,
13,Magra Islet Queensland AUSTRALIA,Magra Islet,Queensland,AUSTRALIA,-11.8573472,143.2815326,Australia,"Magra Islet, Shelburne QLD 4874, Australia",APPROXIMATE,
14,Pelican Waters Caloundra Queensland AUSTRALIA,Pelican Waters,Queensland,AUSTRALIA,-26.799,153.133,4551,"Caloundra QLD 4551, Australia",APPROXIMATE,
15,Maatsuyker Island Tasmania AUSTRALIA,Maatsuyker Island,Tasmania,AUSTRALIA,-43.6522707,146.2769813,,,APPROXIMATE,
16,Lennox Head New South Wales AUSTRALIA,Lennox Head,New South Wales,AUSTRALIA,-28.8,153.583333,2478,"Lennox Head NSW 2478, Australia",APPROXIMATE,
